trial_index,measured_for_timing,completion_index,class,n_tokens_generated,generated_token_hash,ttft_ms,total_ms,total_minus_ttft_ms,tokens_per_second,status
0,False,0,short,8,0x0619d4d1900c2365,53.158000,143.756000,90.598000,55.649851,ok
0,False,1,short,16,0x833045f1e2ebf49f,192.525000,459.199000,266.674000,34.843281,ok
0,False,2,short,8,0x0619d4d1900c2365,509.217000,632.467000,123.250000,12.648881,ok
0,False,3,long,64,0x7efcc69b4edadb70,53.172000,1079.238000,1026.066000,59.301099,ok
0,False,4,short,16,0x833045f1e2ebf49f,669.221000,870.522000,201.301000,18.379777,ok
0,False,5,short,8,0x0619d4d1900c2365,746.893000,869.496000,122.603000,9.200732,ok
0,False,6,long,64,0x7efcc69b4edadb70,538.678000,1550.329000,1011.651000,41.281560,ok
0,False,7,short,8,0x0619d4d1900c2365,414.056000,537.046000,122.990000,14.896303,ok
0,False,8,short,16,0x833045f1e2ebf49f,414.136000,679.385000,265.249000,23.550711,ok
0,False,9,short,8,0x0619d4d1900c2365,536.425000,658.167000,121.742000,12.154970,ok
0,False,10,long,64,0x7efcc69b4edadb70,470.736000,1523.086000,1052.350000,42.019952,ok
0,False,11,medium,32,0x6794e47fe0f84af1,534.328000,967.061000,432.733000,33.089950,ok
1,False,0,short,8,0x0619d4d1900c2365,61.268000,156.413000,95.145000,51.146644,ok
1,False,1,short,16,0x833045f1e2ebf49f,207.065000,484.389000,277.324000,33.031303,ok
1,False,2,short,8,0x0619d4d1900c2365,533.188000,656.138000,122.950000,12.192557,ok
1,False,3,long,64,0x7efcc69b4edadb70,61.276000,1027.535000,966.259000,62.284983,ok
1,False,4,short,16,0x833045f1e2ebf49f,591.280000,853.007000,261.727000,18.757173,ok
1,False,5,short,8,0x0619d4d1900c2365,735.921000,859.300000,123.379000,9.309903,ok
1,False,6,long,64,0x7efcc69b4edadb70,547.233000,1536.994000,989.761000,41.639720,ok
1,False,7,short,8,0x0619d4d1900c2365,405.635000,505.125000,99.490000,15.837664,ok
1,False,8,short,16,0x833045f1e2ebf49f,377.271000,641.590000,264.319000,24.938045,ok
1,False,9,short,8,0x0619d4d1900c2365,511.966000,637.851000,125.885000,12.542114,ok
1,False,10,long,64,0x7efcc69b4edadb70,537.501000,1602.530000,1065.029000,39.936850,ok
1,False,11,medium,32,0x6794e47fe0f84af1,549.171000,1011.843000,462.672000,31.625460,ok
2,False,0,short,8,0x0619d4d1900c2365,52.522000,136.665000,84.143000,58.537299,ok
2,False,1,short,16,0x833045f1e2ebf49f,182.320000,420.364000,238.044000,38.062251,ok
2,False,2,short,8,0x0619d4d1900c2365,467.316000,588.324000,121.008000,13.597949,ok
2,False,3,long,64,0x7efcc69b4edadb70,52.529000,1100.804000,1048.275000,58.139324,ok
2,False,4,short,16,0x833045f1e2ebf49f,728.856000,990.090000,261.234000,16.160147,ok
2,False,5,short,8,0x0619d4d1900c2365,869.734000,992.290000,122.556000,8.062159,ok
2,False,6,long,64,0x7efcc69b4edadb70,515.570000,1584.590000,1069.020000,40.388997,ok
2,False,7,short,8,0x0619d4d1900c2365,359.415000,480.466000,121.051000,16.650502,ok
2,False,8,short,16,0x833045f1e2ebf49f,359.405000,624.204000,264.799000,25.632646,ok
2,False,9,short,8,0x0619d4d1900c2365,531.852000,642.202000,110.350000,12.457140,ok
