trial_index,measured_for_timing,trial_pass,n_rows,n_tok_multiset_delta_json,makespan_ms,long_class_median_total_ms,queue_drain_ms,process_wall_ms,agg_tok_per_s
0,False,True,12,{},1550.329000,1523.086000,27.243000,3606.351,109.990
1,False,True,12,{},1602.530000,1536.994000,65.536000,3620.361,109.210
2,False,True,12,{},1584.590000,1566.382000,18.208000,3615.600,108.720
3,False,True,12,{},1618.376000,1566.024000,52.352000,3596.374,107.930
4,False,True,12,{},1579.407000,1515.840000,63.567000,3609.426,110.930
5,False,True,12,{},1519.685000,1456.149000,63.536000,3105.783,114.320
6,False,True,12,{},1546.173000,1505.518000,40.655000,3118.282,114.080
7,False,True,12,{},1612.194000,1594.609000,17.585000,3619.019,107.010
8,False,True,12,{},1553.019000,1539.447000,13.572000,3602.104,111.270
9,False,True,12,{},1521.241000,1476.898000,44.343000,3092.544,113.620
10,False,True,12,{},1504.862000,1487.052000,17.810000,3095.597,116.130
