trial_index,measured_for_timing,completion_index,class,n_tokens_generated,generated_token_hash,ttft_ms,total_ms,total_minus_ttft_ms,tokens_per_second,status
0,False,0,short,8,0x0619d4d1900c2365,52.781000,143.193000,90.412000,55.868653,ok
0,False,1,short,16,0x833045f1e2ebf49f,192.090000,455.982000,263.892000,35.089104,ok
0,False,2,short,8,0x0619d4d1900c2365,511.300000,633.826000,122.526000,12.621761,ok
0,False,3,long,64,0x7efcc69b4edadb70,52.788000,1081.702000,1028.914000,59.166018,ok
0,False,4,short,16,0x833045f1e2ebf49f,678.093000,943.827000,265.734000,16.952259,ok
0,False,5,short,8,0x0619d4d1900c2365,819.692000,944.557000,124.865000,8.469579,ok
0,False,6,long,64,0x7efcc69b4edadb70,539.550000,1584.675000,1045.125000,40.386830,ok
0,False,7,short,8,0x0619d4d1900c2365,378.647000,502.974000,124.327000,15.905395,ok
0,False,8,short,16,0x833045f1e2ebf49f,378.756000,596.438000,217.682000,26.825923,ok
0,False,9,short,8,0x0619d4d1900c2365,497.952000,621.326000,123.374000,12.875688,ok
0,False,10,long,64,0x7efcc69b4edadb70,548.070000,1562.970000,1014.900000,40.947683,ok
0,False,11,medium,32,0x6794e47fe0f84af1,496.979000,943.454000,446.475000,33.917923,ok
1,False,0,short,8,0x0619d4d1900c2365,54.652000,141.806000,87.154000,56.415102,ok
1,False,1,short,16,0x833045f1e2ebf49f,186.911000,447.752000,260.841000,35.734067,ok
1,False,2,short,8,0x0619d4d1900c2365,513.834000,629.057000,115.223000,12.717448,ok
1,False,3,long,64,0x7efcc69b4edadb70,54.655000,1095.197000,1040.542000,58.436975,ok
1,False,4,short,16,0x833045f1e2ebf49f,696.339000,961.375000,265.036000,16.642829,ok
1,False,5,short,8,0x0619d4d1900c2365,830.586000,944.533000,113.947000,8.469794,ok
1,False,6,long,64,0x7efcc69b4edadb70,537.562000,1597.324000,1059.762000,40.067012,ok
1,False,7,short,8,0x0619d4d1900c2365,378.662000,503.467000,124.805000,15.889820,ok
1,False,8,short,16,0x833045f1e2ebf49f,394.928000,640.731000,245.803000,24.971478,ok
1,False,9,short,8,0x0619d4d1900c2365,529.399000,653.228000,123.829000,12.246872,ok
1,False,10,long,64,0x7efcc69b4edadb70,529.221000,1567.425000,1038.204000,40.831300,ok
1,False,11,medium,32,0x6794e47fe0f84af1,529.445000,953.513000,424.068000,33.560109,ok
2,False,0,short,8,0x0619d4d1900c2365,52.828000,136.200000,83.372000,58.737151,ok
2,False,1,short,16,0x833045f1e2ebf49f,181.079000,432.673000,251.594000,36.979428,ok
2,False,2,short,8,0x0619d4d1900c2365,484.127000,606.648000,122.521000,13.187219,ok
2,False,3,long,64,0x7efcc69b4edadb70,52.830000,1034.199000,981.369000,61.883641,ok
2,False,4,short,16,0x833045f1e2ebf49f,650.430000,913.174000,262.744000,17.521305,ok
2,False,5,short,8,0x0619d4d1900c2365,793.611000,916.746000,123.135000,8.726517,ok
2,False,6,long,64,0x7efcc69b4edadb70,518.524000,1537.421000,1018.897000,41.628155,ok
2,False,7,short,8,0x0619d4d1900c2365,376.760000,501.679000,124.919000,15.946452,ok
2,False,8,short,16,0x833045f1e2ebf49f,375.835000,590.717000,214.882000,27.085728,ok
2,False,9,short,8,0x0619d4d1900c2365,489.831000,611.773000,121.942000,13.076746,ok
2,False,10,long,64,0x7efcc69b4edadb70,539.154000,1515.934000,976.780000,42.218197,ok
2,False,11,medium,32,0x6794e47fe0f84af1,487.792000,898.043000,410.251000,35.633038,ok
3,False,0,short,8,0x0619d4d1900c2365,57.212000,147.321000,90.109000,54.303188,ok
3,False,1,short,16,0x833045f1e2ebf49f,192.970000,467.056000,274.086000,34.257134,ok
3,False,2,short,8,0x0619d4d1900c2365,518.611000,642.224000,123.613000,12.456713,ok
3,False,3,long,64,0x7efcc69b4edadb70,57.215000,1047.102000,989.887000,61.121075,ok
