trial_index,measured_for_timing,trial_pass,n_rows,n_tok_multiset_delta_json,makespan_ms,long_class_median_total_ms,queue_drain_ms,process_wall_ms,agg_tok_per_s
0,False,True,12,{},1584.675000,1562.970000,21.705000,3617.534,109.490
1,False,True,12,{},1597.324000,1567.425000,29.899000,3613.667,108.750
2,False,True,12,{},1537.421000,1515.934000,21.487000,3098.475,113.460
3,False,True,12,{},1565.922000,1555.871000,10.051000,3610.246,110.510
4,False,True,12,{},1534.191000,1500.783000,33.408000,3089.919,113.390
5,False,True,12,{},1561.758000,1544.207000,17.551000,3610.416,111.510
6,False,True,12,{},1581.329000,1494.017000,87.312000,3093.619,113.420
7,False,True,12,{},1582.723000,1533.150000,49.573000,3608.367,111.370
8,False,True,12,{},1498.537000,1480.975000,17.562000,3095.119,115.580
9,False,True,12,{},1546.211000,1483.741000,62.470000,3101.463,113.540
10,False,True,12,{},1529.684000,1440.105000,89.579000,3089.389,114.860
