trial_index,measured_for_timing,completion_index,class,n_tokens_generated,generated_token_hash,ttft_ms,total_ms,total_minus_ttft_ms,tokens_per_second,status
0,False,0,short,8,0x0619d4d1900c2365,52.856000,144.629000,91.773000,55.313941,ok
0,False,1,short,16,0x833045f1e2ebf49f,209.481000,475.505000,266.024000,33.648437,ok
0,False,2,short,8,0x0619d4d1900c2365,527.376000,625.890000,98.514000,12.781799,ok
0,False,3,long,64,0x7efcc69b4edadb70,52.868000,1096.672000,1043.804000,58.358379,ok
0,False,4,short,16,0x833045f1e2ebf49f,673.976000,906.350000,232.374000,17.653224,ok
0,False,5,short,8,0x0619d4d1900c2365,807.952000,930.945000,122.993000,8.593419,ok
0,False,6,long,64,0x7efcc69b4edadb70,532.967000,1586.318000,1053.351000,40.345000,ok
0,False,7,short,8,0x0619d4d1900c2365,403.057000,527.407000,124.350000,15.168551,ok
0,False,8,short,16,0x833045f1e2ebf49f,403.554000,694.069000,290.515000,23.052463,ok
0,False,9,short,8,0x0619d4d1900c2365,574.106000,699.039000,124.933000,11.444283,ok
0,False,10,long,64,0x7efcc69b4edadb70,513.805000,1594.298000,1080.493000,40.143060,ok
0,False,11,medium,32,0x6794e47fe0f84af1,574.351000,1020.799000,446.448000,31.347993,ok
1,True,0,short,8,0x0619d4d1900c2365,52.552000,144.766000,92.214000,55.261595,ok
1,True,1,short,16,0x833045f1e2ebf49f,195.399000,461.679000,266.280000,34.656114,ok
1,True,2,short,8,0x0619d4d1900c2365,513.919000,639.017000,125.098000,12.519229,ok
1,True,3,long,64,0x7efcc69b4edadb70,52.570000,1107.118000,1054.548000,57.807749,ok
1,True,4,short,16,0x833045f1e2ebf49f,698.547000,923.348000,224.801000,17.328245,ok
1,True,5,short,8,0x0619d4d1900c2365,798.991000,922.997000,124.006000,8.667417,ok
1,True,6,long,64,0x7efcc69b4edadb70,546.663000,1608.976000,1062.313000,39.776852,ok
1,True,7,short,8,0x0619d4d1900c2365,422.749000,546.611000,123.862000,14.635637,ok
1,True,8,short,16,0x833045f1e2ebf49f,423.097000,690.048000,266.951000,23.186793,ok
1,True,9,short,8,0x0619d4d1900c2365,553.474000,678.298000,124.824000,11.794226,ok
1,True,10,long,64,0x7efcc69b4edadb70,509.028000,1567.518000,1058.490000,40.828877,ok
1,True,11,medium,32,0x6794e47fe0f84af1,554.369000,1002.426000,448.057000,31.922556,ok
2,True,0,short,8,0x0619d4d1900c2365,55.974000,149.273000,93.299000,53.593081,ok
2,True,1,short,16,0x833045f1e2ebf49f,199.712000,465.084000,265.372000,34.402388,ok
2,True,2,short,8,0x0619d4d1900c2365,517.099000,642.949000,125.850000,12.442667,ok
2,True,3,long,64,0x7efcc69b4edadb70,55.986000,1094.389000,1038.403000,58.480120,ok
2,True,4,short,16,0x833045f1e2ebf49f,682.187000,948.470000,266.283000,16.869274,ok
2,True,5,short,8,0x0619d4d1900c2365,823.933000,946.747000,122.814000,8.449987,ok
2,True,6,long,64,0x7efcc69b4edadb70,545.527000,1611.582000,1066.055000,39.712531,ok
2,True,7,short,8,0x0619d4d1900c2365,400.376000,522.107000,121.731000,15.322530,ok
2,True,8,short,16,0x833045f1e2ebf49f,401.857000,668.904000,267.047000,23.919725,ok
2,True,9,short,8,0x0619d4d1900c2365,551.100000,674.053000,122.953000,11.868503,ok
2,True,10,long,64,0x7efcc69b4edadb70,552.651000,1607.465000,1054.814000,39.814242,ok
2,True,11,medium,32,0x6794e47fe0f84af1,554.677000,1002.309000,447.632000,31.926282,ok
3,True,0,short,8,0x0619d4d1900c2365,76.652000,173.000000,96.348000,46.242775,ok
3,True,1,short,16,0x833045f1e2ebf49f,224.355000,490.907000,266.552000,32.592731,ok
3,True,2,short,8,0x0619d4d1900c2365,543.944000,668.545000,124.601000,11.966285,ok
3,True,3,long,64,0x7efcc69b4edadb70,76.668000,1103.633000,1026.965000,57.990292,ok
3,True,4,short,16,0x833045f1e2ebf49f,666.420000,931.198000,264.778000,17.182167,ok
3,True,5,short,8,0x0619d4d1900c2365,808.733000,935.202000,126.469000,8.554302,ok
