trial_index,measured_for_timing,trial_pass,n_rows,n_tok_multiset_delta_json,makespan_ms,long_class_median_total_ms,queue_drain_ms,process_wall_ms,agg_tok_per_s
0,False,True,12,{},1594.298000,1586.318000,7.980000,3610.795,106.400
1,True,True,12,{},1608.976000,1567.518000,41.458000,3609.756,106.260
2,True,True,12,{},1611.582000,1607.465000,4.117000,3603.759,106.090
3,True,True,12,{},1617.120000,1597.006000,20.114000,3608.580,105.860
4,True,True,12,{},1601.856000,1552.828000,49.028000,3606.145,107.720
5,True,True,12,{},1556.190000,1466.997000,89.193000,3109.734,111.900
6,True,True,12,{},1646.189000,1640.767000,5.422000,3641.696,100.460
7,True,True,12,{},1623.189000,1549.868000,73.321000,3603.248,107.170
8,True,True,12,{},1620.175000,1578.848000,41.327000,3611.920,107.140
9,True,True,12,{},1597.438000,1548.806000,48.632000,3610.348,108.590
10,True,True,12,{},1898.837000,1804.764000,94.073000,4224.309,95.960
