trial_index,measured_for_timing,completion_index,class,n_tokens_generated,generated_token_hash,ttft_ms,total_ms,total_minus_ttft_ms,tokens_per_second,status
0,False,0,short,8,0x0619d4d1900c2365,57.392000,145.450000,88.058000,55.001719,ok
0,False,1,short,16,0x833045f1e2ebf49f,194.710000,461.468000,266.758000,34.671960,ok
0,False,2,short,8,0x0619d4d1900c2365,513.178000,636.473000,123.295000,12.569268,ok
0,False,3,long,64,0x7efcc69b4edadb70,57.394000,1037.370000,979.976000,61.694477,ok
0,False,4,short,16,0x833045f1e2ebf49f,628.858000,880.443000,251.585000,18.172670,ok
0,False,5,short,8,0x0619d4d1900c2365,758.225000,882.299000,124.074000,9.067221,ok
0,False,6,long,64,0x7efcc69b4edadb70,542.760000,1547.319000,1004.559000,41.361865,ok
0,False,7,short,8,0x0619d4d1900c2365,403.180000,527.683000,124.503000,15.160617,ok
0,False,8,short,16,0x833045f1e2ebf49f,405.020000,635.536000,230.516000,25.175600,ok
0,False,9,short,8,0x0619d4d1900c2365,516.053000,640.780000,124.727000,12.484784,ok
0,False,10,long,64,0x7efcc69b4edadb70,535.889000,1576.856000,1040.967000,40.587092,ok
0,False,11,medium,32,0x6794e47fe0f84af1,517.776000,963.453000,445.677000,33.213867,ok
1,True,0,short,8,0x0619d4d1900c2365,53.821000,151.925000,98.104000,52.657561,ok
1,True,1,short,16,0x833045f1e2ebf49f,202.212000,468.148000,265.936000,34.177226,ok
1,True,2,short,8,0x0619d4d1900c2365,520.597000,646.927000,126.330000,12.366156,ok
1,True,3,long,64,0x7efcc69b4edadb70,53.825000,1078.774000,1024.949000,59.326606,ok
1,True,4,short,16,0x833045f1e2ebf49f,663.972000,915.561000,251.589000,17.475624,ok
1,True,5,short,8,0x0619d4d1900c2365,790.192000,915.152000,124.960000,8.741717,ok
1,True,6,long,64,0x7efcc69b4edadb70,547.147000,1581.695000,1034.548000,40.462921,ok
1,True,7,short,8,0x0619d4d1900c2365,402.617000,527.608000,124.991000,15.162772,ok
1,True,8,short,16,0x833045f1e2ebf49f,403.707000,670.714000,267.007000,23.855175,ok
1,True,9,short,8,0x0619d4d1900c2365,553.856000,664.266000,110.410000,12.043368,ok
1,True,10,long,64,0x7efcc69b4edadb70,536.899000,1593.724000,1056.825000,40.157518,ok
1,True,11,medium,32,0x6794e47fe0f84af1,540.087000,983.583000,443.496000,32.534113,ok
2,True,0,short,8,0x0619d4d1900c2365,53.001000,183.417000,130.416000,43.616459,ok
2,True,1,short,16,0x833045f1e2ebf49f,233.025000,497.033000,264.008000,32.191022,ok
2,True,2,short,8,0x0619d4d1900c2365,549.082000,654.200000,105.118000,12.228676,ok
2,True,3,long,64,0x7efcc69b4edadb70,53.000000,1125.646000,1072.646000,56.856241,ok
2,True,4,short,16,0x833045f1e2ebf49f,682.075000,946.328000,264.253000,16.907457,ok
2,True,5,short,8,0x0619d4d1900c2365,843.348000,967.225000,123.877000,8.271085,ok
2,True,6,long,64,0x7efcc69b4edadb70,522.363000,1606.057000,1083.694000,39.849146,ok
2,True,7,short,8,0x0619d4d1900c2365,399.661000,523.415000,123.754000,15.284239,ok
2,True,8,short,16,0x833045f1e2ebf49f,400.342000,627.034000,226.692000,25.516958,ok
2,True,9,short,8,0x0619d4d1900c2365,512.442000,637.294000,124.852000,12.553076,ok
2,True,10,long,64,0x7efcc69b4edadb70,549.487000,1584.704000,1035.217000,40.386091,ok
2,True,11,medium,32,0x6794e47fe0f84af1,514.315000,958.172000,443.857000,33.396927,ok
3,True,0,short,8,0x0619d4d1900c2365,52.972000,144.864000,91.892000,55.224210,ok
3,True,1,short,16,0x833045f1e2ebf49f,194.387000,459.892000,265.505000,34.790777,ok
3,True,2,short,8,0x0619d4d1900c2365,519.750000,658.276000,138.526000,12.152957,ok
3,True,3,long,64,0x7efcc69b4edadb70,52.974000,1137.826000,1084.852000,56.247616,ok
3,True,4,short,16,0x833045f1e2ebf49f,730.826000,998.743000,267.917000,16.020137,ok
3,True,5,short,8,0x0619d4d1900c2365,855.088000,979.931000,124.843000,8.163840,ok
3,True,6,long,64,0x7efcc69b4edadb70,569.570000,1641.867000,1072.297000,38.980015,ok
3,True,7,short,8,0x0619d4d1900c2365,382.774000,506.521000,123.747000,15.794014,ok
3,True,8,short,16,0x833045f1e2ebf49f,381.927000,648.609000,266.682000,24.668175,ok
3,True,9,short,8,0x0619d4d1900c2365,555.292000,661.310000,106.018000,12.097201,ok
