trial_index,measured_for_timing,trial_pass,n_rows,n_tok_multiset_delta_json,makespan_ms,long_class_median_total_ms,queue_drain_ms,process_wall_ms,agg_tok_per_s
0,False,True,12,{},1576.856000,1547.319000,29.537000,3600.944,110.000
1,True,True,12,{},1593.724000,1581.695000,12.029000,3600.290,107.710
2,True,True,12,{},1606.057000,1584.704000,21.353000,3593.675,106.580
3,True,True,12,{},1641.867000,1604.901000,36.966000,3610.779,105.610
4,True,True,12,{},1625.321000,1623.747000,1.574000,3620.350,105.840
5,True,True,12,{},1603.017000,1595.663000,7.354000,3605.998,107.610
6,True,True,12,{},1557.783000,1518.217000,39.566000,3608.751,111.480
7,True,True,12,{},1658.448000,1586.630000,71.818000,3603.015,105.880
8,True,True,12,{},1588.238000,1575.619000,12.619000,3602.118,108.000
9,True,True,12,{},1561.652000,1558.084000,3.568000,3610.773,110.190
10,True,True,12,{},1572.267000,1540.747000,31.520000,3596.765,110.730
