trial_index,measured_for_timing,trial_pass,n_rows,n_tok_multiset_delta_json,makespan_ms,process_wall_ms,agg_tok_per_s
0,False,True,200,{},2554.497000,16200.455,102.830
1,False,True,200,{},2585.451000,16699.294,100.560
2,False,True,200,{},2532.973000,15693.496,105.560
3,False,True,200,{},2818.053000,17183.590,96.530
4,False,True,200,{},2581.482000,16176.527,101.760
5,False,True,200,{},2656.896000,15207.969,111.320
6,False,True,200,{},2776.999000,16714.458,99.980
7,False,True,200,{},2688.896000,16691.276,100.470
8,False,True,200,{},2545.105000,16172.805,103.620
9,False,True,200,{},2593.118000,16195.063,102.030
10,False,True,200,{},2664.049000,15694.522,106.300
