trial_index,measured_for_timing,trial_pass,n_rows,n_tok_multiset_delta_json,makespan_ms,process_wall_ms,agg_tok_per_s
0,False,True,200,{},2696.446000,16716.019,98.800
1,False,True,200,{},2723.768000,16162.476,101.290
2,False,True,200,{},2748.139000,16706.625,98.540
3,False,True,200,{},2713.816000,16680.890,98.900
4,False,True,200,{},2531.136000,15171.104,108.150
5,False,True,200,{},2595.262000,16182.820,101.460
6,False,True,200,{},2353.059000,14224.950,120.170
7,False,True,200,{},2537.887000,16171.131,104.140
8,False,True,200,{},2445.687000,14675.689,111.890
9,False,True,200,{},2649.448000,15684.246,106.970
10,False,True,200,{},2515.417000,15693.565,104.840
