trial_index,measured_for_timing,trial_pass,n_rows,n_tok_multiset_delta_json,makespan_ms,process_wall_ms,agg_tok_per_s
0,False,True,200,{},2928.918000,18224.824,90.050
1,True,True,200,{},3072.177000,19189.726,85.110
2,True,True,200,{},3116.193000,19208.542,86.900
3,True,True,200,{},3172.031000,19716.010,83.700
4,True,True,200,{},3033.129000,18739.577,89.200
5,True,True,200,{},2899.582000,17163.480,95.590
6,True,True,200,{},2752.310000,17201.093,96.750
7,True,True,200,{},3025.591000,19236.592,86.060
8,True,True,200,{},2904.656000,17690.891,93.100
9,True,True,200,{},3034.544000,19233.761,86.140
10,True,True,200,{},2810.520000,17199.700,96.910
