trial_index,measured_for_timing,trial_pass,n_rows,n_tok_multiset_delta_json,makespan_ms,process_wall_ms,agg_tok_per_s
0,False,True,200,{},3143.628000,19729.957,84.780
1,True,True,200,{},3081.017000,19213.929,85.760
2,True,True,200,{},3178.847000,19218.542,84.960
3,True,True,200,{},3062.246000,19194.115,85.900
4,True,True,200,{},2812.687000,17205.851,96.350
5,True,True,200,{},3024.870000,18719.348,88.040
6,True,True,200,{},2813.106000,16711.452,98.510
7,True,True,200,{},3081.265000,17717.666,93.210
8,True,True,200,{},2848.649000,17217.739,96.220
9,True,True,200,{},2773.639000,17194.161,97.260
10,True,True,200,{},3042.610000,18733.645,88.530
