variant	threads	case	prompt_tokens	gen_tokens	logfile
base	1	prefill_tiny	16	1	hpx-bench/results/2026-04-09-225402-cpu-campaign/bench/base.t1.prefill_tiny.log
hpx	1	prefill_tiny	16	1	hpx-bench/results/2026-04-09-225402-cpu-campaign/bench/hpx.t1.prefill_tiny.log
base	1	prefill_mid	128	1	hpx-bench/results/2026-04-09-225402-cpu-campaign/bench/base.t1.prefill_mid.log
hpx	1	prefill_mid	128	1	hpx-bench/results/2026-04-09-225402-cpu-campaign/bench/hpx.t1.prefill_mid.log
base	1	prefill_long	512	1	hpx-bench/results/2026-04-09-225402-cpu-campaign/bench/base.t1.prefill_long.log
hpx	1	prefill_long	512	1	hpx-bench/results/2026-04-09-225402-cpu-campaign/bench/hpx.t1.prefill_long.log
base	1	decode_light	32	32	hpx-bench/results/2026-04-09-225402-cpu-campaign/bench/base.t1.decode_light.log
hpx	1	decode_light	32	32	hpx-bench/results/2026-04-09-225402-cpu-campaign/bench/hpx.t1.decode_light.log
base	1	decode_heavy	32	128	hpx-bench/results/2026-04-09-225402-cpu-campaign/bench/base.t1.decode_heavy.log
hpx	1	decode_heavy	32	128	hpx-bench/results/2026-04-09-225402-cpu-campaign/bench/hpx.t1.decode_heavy.log
base	2	prefill_tiny	16	1	hpx-bench/results/2026-04-09-225402-cpu-campaign/bench/base.t2.prefill_tiny.log
hpx	2	prefill_tiny	16	1	hpx-bench/results/2026-04-09-225402-cpu-campaign/bench/hpx.t2.prefill_tiny.log
base	2	prefill_mid	128	1	hpx-bench/results/2026-04-09-225402-cpu-campaign/bench/base.t2.prefill_mid.log
hpx	2	prefill_mid	128	1	hpx-bench/results/2026-04-09-225402-cpu-campaign/bench/hpx.t2.prefill_mid.log
base	2	prefill_long	512	1	hpx-bench/results/2026-04-09-225402-cpu-campaign/bench/base.t2.prefill_long.log
hpx	2	prefill_long	512	1	hpx-bench/results/2026-04-09-225402-cpu-campaign/bench/hpx.t2.prefill_long.log
base	2	decode_light	32	32	hpx-bench/results/2026-04-09-225402-cpu-campaign/bench/base.t2.decode_light.log
hpx	2	decode_light	32	32	hpx-bench/results/2026-04-09-225402-cpu-campaign/bench/hpx.t2.decode_light.log
base	2	decode_heavy	32	128	hpx-bench/results/2026-04-09-225402-cpu-campaign/bench/base.t2.decode_heavy.log
hpx	2	decode_heavy	32	128	hpx-bench/results/2026-04-09-225402-cpu-campaign/bench/hpx.t2.decode_heavy.log
base	4	prefill_tiny	16	1	hpx-bench/results/2026-04-09-225402-cpu-campaign/bench/base.t4.prefill_tiny.log
hpx	4	prefill_tiny	16	1	hpx-bench/results/2026-04-09-225402-cpu-campaign/bench/hpx.t4.prefill_tiny.log
base	4	prefill_mid	128	1	hpx-bench/results/2026-04-09-225402-cpu-campaign/bench/base.t4.prefill_mid.log
hpx	4	prefill_mid	128	1	hpx-bench/results/2026-04-09-225402-cpu-campaign/bench/hpx.t4.prefill_mid.log
base	4	prefill_long	512	1	hpx-bench/results/2026-04-09-225402-cpu-campaign/bench/base.t4.prefill_long.log
hpx	4	prefill_long	512	1	hpx-bench/results/2026-04-09-225402-cpu-campaign/bench/hpx.t4.prefill_long.log
base	4	decode_light	32	32	hpx-bench/results/2026-04-09-225402-cpu-campaign/bench/base.t4.decode_light.log
hpx	4	decode_light	32	32	hpx-bench/results/2026-04-09-225402-cpu-campaign/bench/hpx.t4.decode_light.log
base	4	decode_heavy	32	128	hpx-bench/results/2026-04-09-225402-cpu-campaign/bench/base.t4.decode_heavy.log
hpx	4	decode_heavy	32	128	hpx-bench/results/2026-04-09-225402-cpu-campaign/bench/hpx.t4.decode_heavy.log
base	8	prefill_tiny	16	1	hpx-bench/results/2026-04-09-225402-cpu-campaign/bench/base.t8.prefill_tiny.log
hpx	8	prefill_tiny	16	1	hpx-bench/results/2026-04-09-225402-cpu-campaign/bench/hpx.t8.prefill_tiny.log
base	8	prefill_mid	128	1	hpx-bench/results/2026-04-09-225402-cpu-campaign/bench/base.t8.prefill_mid.log
hpx	8	prefill_mid	128	1	hpx-bench/results/2026-04-09-225402-cpu-campaign/bench/hpx.t8.prefill_mid.log
base	8	prefill_long	512	1	hpx-bench/results/2026-04-09-225402-cpu-campaign/bench/base.t8.prefill_long.log
hpx	8	prefill_long	512	1	hpx-bench/results/2026-04-09-225402-cpu-campaign/bench/hpx.t8.prefill_long.log
base	8	decode_light	32	32	hpx-bench/results/2026-04-09-225402-cpu-campaign/bench/base.t8.decode_light.log
hpx	8	decode_light	32	32	hpx-bench/results/2026-04-09-225402-cpu-campaign/bench/hpx.t8.decode_light.log
base	8	decode_heavy	32	128	hpx-bench/results/2026-04-09-225402-cpu-campaign/bench/base.t8.decode_heavy.log
hpx	8	decode_heavy	32	128	hpx-bench/results/2026-04-09-225402-cpu-campaign/bench/hpx.t8.decode_heavy.log
