variant	threads	case	t/s	raw_file
base	1	pp32	pp32	hpx-bench/results/2026-04-14-130553-tpool-matrix/raw/base.t1.pp32.log
hpx	1	pp32	pp32	hpx-bench/results/2026-04-14-130553-tpool-matrix/raw/hpx.t1.pp32.log
base	1	pp512	pp512	hpx-bench/results/2026-04-14-130553-tpool-matrix/raw/base.t1.pp512.log
hpx	1	pp512	pp512	hpx-bench/results/2026-04-14-130553-tpool-matrix/raw/hpx.t1.pp512.log
base	1	tg128	tg128	hpx-bench/results/2026-04-14-130553-tpool-matrix/raw/base.t1.tg128.log
hpx	1	tg128	tg128	hpx-bench/results/2026-04-14-130553-tpool-matrix/raw/hpx.t1.tg128.log
base	2	pp32	pp32	hpx-bench/results/2026-04-14-130553-tpool-matrix/raw/base.t2.pp32.log
hpx	2	pp32	pp32	hpx-bench/results/2026-04-14-130553-tpool-matrix/raw/hpx.t2.pp32.log
base	2	pp512	pp512	hpx-bench/results/2026-04-14-130553-tpool-matrix/raw/base.t2.pp512.log
hpx	2	pp512	pp512	hpx-bench/results/2026-04-14-130553-tpool-matrix/raw/hpx.t2.pp512.log
base	2	tg128	tg128	hpx-bench/results/2026-04-14-130553-tpool-matrix/raw/base.t2.tg128.log
hpx	2	tg128	tg128	hpx-bench/results/2026-04-14-130553-tpool-matrix/raw/hpx.t2.tg128.log
base	4	pp32	pp32	hpx-bench/results/2026-04-14-130553-tpool-matrix/raw/base.t4.pp32.log
hpx	4	pp32	pp32	hpx-bench/results/2026-04-14-130553-tpool-matrix/raw/hpx.t4.pp32.log
base	4	pp512	pp512	hpx-bench/results/2026-04-14-130553-tpool-matrix/raw/base.t4.pp512.log
hpx	4	pp512	pp512	hpx-bench/results/2026-04-14-130553-tpool-matrix/raw/hpx.t4.pp512.log
base	4	tg128	tg128	hpx-bench/results/2026-04-14-130553-tpool-matrix/raw/base.t4.tg128.log
hpx	4	tg128	tg128	hpx-bench/results/2026-04-14-130553-tpool-matrix/raw/hpx.t4.tg128.log
