impl,n,lanes,reps,min_ns,median_ns,p95_ns
ref,512,1,1000,250.0,292.0,333.0
direct,512,1,1000,250.0,292.0,334.0
fused_async,512,1,1000,1000.0,5917.0,764334.0
dag_empty_nowrap,512,1,1000,6666.0,14042.0,1399208.0
dag_nowrap,512,1,1000,7416.0,8875.0,28458.0
frozen_packet,512,1,1000,459.0,500.0,542.0
dag_empty_nowrap,512,2,1000,12125.0,15042.0,1550792.0
dag_nowrap,512,2,1000,12375.0,15167.0,1262708.0
frozen_packet,512,2,1000,4917.0,6834.0,619333.0
dag_empty_nowrap,512,4,1000,12792.0,16167.0,1796209.0
dag_nowrap,512,4,1000,12750.0,16417.0,1741250.0
frozen_packet,512,4,1000,6125.0,8125.0,592250.0
ref,2048,1,1000,1125.0,1958.0,2000.0
direct,2048,1,1000,1125.0,1209.0,1250.0
fused_async,2048,1,1000,3208.0,6708.0,8458.0
dag_empty_nowrap,2048,1,1000,7041.0,8834.0,874667.0
dag_nowrap,2048,1,1000,8958.0,11208.0,1074875.0
frozen_packet,2048,1,1000,1166.0,1209.0,1250.0
dag_empty_nowrap,2048,2,1000,11541.0,15708.0,2112167.0
dag_nowrap,2048,2,1000,13042.0,16750.0,2495625.0
frozen_packet,2048,2,1000,5958.0,7666.0,73708.0
dag_empty_nowrap,2048,4,1000,12791.0,16750.0,2555083.0
dag_nowrap,2048,4,1000,12416.0,16042.0,26583.0
frozen_packet,2048,4,1000,6667.0,8500.0,201791.0
ref,4096,1,1000,2333.0,2417.0,3959.0
direct,4096,1,1000,2333.0,2417.0,2459.0
fused_async,4096,1,1000,7500.0,8208.0,81292.0
dag_empty_nowrap,4096,1,1000,6375.0,8458.0,1149125.0
dag_nowrap,4096,1,1000,10000.0,12416.0,914167.0
frozen_packet,4096,1,1000,2250.0,2416.0,2417.0
dag_empty_nowrap,4096,2,1000,10541.0,14792.0,981208.0
dag_nowrap,4096,2,1000,13875.0,16666.0,1570250.0
frozen_packet,4096,2,1000,6792.0,8792.0,491416.0
dag_empty_nowrap,4096,4,1000,11875.0,15792.0,1497208.0
dag_nowrap,4096,4,1000,13375.0,16750.0,203625.0
frozen_packet,4096,4,1000,5625.0,9875.0,1479792.0
ref,8192,1,1000,4667.0,4916.0,7792.0
direct,8192,1,1000,4916.0,5084.0,5209.0
fused_async,8192,1,1000,10375.0,12250.0,571250.0
dag_empty_nowrap,8192,1,1000,7375.0,9542.0,198792.0
dag_nowrap,8192,1,1000,13709.0,16541.0,1554541.0
frozen_packet,8192,1,1000,4667.0,5041.0,7875.0
dag_empty_nowrap,8192,2,1000,12417.0,14666.0,93667.0
dag_nowrap,8192,2,1000,14500.0,18917.0,1163291.0
frozen_packet,8192,2,1000,8709.0,10416.0,384417.0
dag_empty_nowrap,8192,4,1000,12542.0,16667.0,1885583.0
dag_nowrap,8192,4,1000,14875.0,18167.0,125125.0
frozen_packet,8192,4,1000,9125.0,10333.0,927500.0
