impl,n,lanes,reps,min_ns,median_ns,p95_ns
ref,512,1,1000,208.0,292.0,334.0
direct,512,1,1000,250.0,292.0,334.0
fused_async,512,1,1000,917.0,14958.0,815666.0
dag_empty_nowrap,512,1,1000,7334.0,9958.0,1138583.0
dag_nowrap,512,1,1000,7709.0,9958.0,890500.0
dag_empty_nowrap,512,2,1000,10750.0,13916.0,1561250.0
dag_nowrap,512,2,1000,12292.0,15583.0,1498208.0
dag_empty_nowrap,512,4,1000,11875.0,16167.0,1626250.0
dag_nowrap,512,4,1000,11875.0,16166.0,38792.0
ref,2048,1,1000,1084.0,1292.0,2000.0
direct,2048,1,1000,1125.0,1208.0,1250.0
fused_async,2048,1,1000,2917.0,6958.0,718208.0
dag_empty_nowrap,2048,1,1000,7958.0,9917.0,860666.0
dag_nowrap,2048,1,1000,8000.0,10666.0,820417.0
dag_empty_nowrap,2048,2,1000,12458.0,15625.0,1645042.0
dag_nowrap,2048,2,1000,11625.0,15958.0,98375.0
dag_empty_nowrap,2048,4,1000,11875.0,15875.0,2056917.0
dag_nowrap,2048,4,1000,13875.0,17458.0,2038291.0
ref,4096,1,1000,2333.0,2375.0,2417.0
direct,4096,1,1000,2416.0,2459.0,2541.0
fused_async,4096,1,1000,4208.0,9500.0,815875.0
dag_empty_nowrap,4096,1,1000,7500.0,9792.0,1621500.0
dag_nowrap,4096,1,1000,10833.0,23083.0,2004084.0
dag_empty_nowrap,4096,2,1000,11750.0,14459.0,2904250.0
dag_nowrap,4096,2,1000,13917.0,16833.0,900542.0
dag_empty_nowrap,4096,4,1000,12666.0,17125.0,784709.0
dag_nowrap,4096,4,1000,13667.0,17750.0,1844708.0
ref,8192,1,1000,4708.0,5167.0,5250.0
direct,8192,1,1000,4916.0,5042.0,5166.0
fused_async,8192,1,1000,7083.0,13750.0,564500.0
dag_empty_nowrap,8192,1,1000,7334.0,9042.0,44000.0
dag_nowrap,8192,1,1000,13083.0,16208.0,864375.0
dag_empty_nowrap,8192,2,1000,13625.0,15500.0,41042.0
dag_nowrap,8192,2,1000,14000.0,18250.0,1578542.0
dag_empty_nowrap,8192,4,1000,12458.0,15917.0,1137791.0
dag_nowrap,8192,4,1000,14833.0,19166.0,2018958.0
