impl,n,lanes,reps,min_ns,median_ns,p95_ns
ref,512,1,1000,291.0,292.0,334.0
direct,512,1,1000,208.0,292.0,334.0
dag_fused_nowrap,512,1,1000,458.0,500.0,542.0
dag_empty,512,1,1000,10333.0,14666.0,933375.0
dag_empty_nowrap,512,1,1000,7375.0,9084.0,771083.0
dag,512,1,1000,10667.0,14250.0,38958.0
dag_nowrap,512,1,1000,8292.0,9334.0,521292.0
dag_empty,512,2,1000,15583.0,19292.0,1655459.0
dag_empty_nowrap,512,2,1000,10625.0,14083.0,1406958.0
dag,512,2,1000,14500.0,19542.0,1573167.0
dag_nowrap,512,2,1000,12917.0,15375.0,1184583.0
dag_empty,512,4,1000,15583.0,20542.0,1749959.0
dag_empty_nowrap,512,4,1000,12167.0,16166.0,1778250.0
dag,512,4,1000,17000.0,21334.0,2210792.0
dag_nowrap,512,4,1000,12417.0,16250.0,1657542.0
ref,2048,1,1000,1125.0,1208.0,1209.0
direct,2048,1,1000,1125.0,1208.0,1250.0
dag_fused_nowrap,2048,1,1000,1125.0,1208.0,1250.0
dag_empty,2048,1,1000,8583.0,12375.0,823583.0
dag_empty_nowrap,2048,1,1000,6208.0,8792.0,674209.0
dag,2048,1,1000,11000.0,15459.0,926791.0
dag_nowrap,2048,1,1000,8083.0,10791.0,1002875.0
dag_empty,2048,2,1000,13958.0,18084.0,996875.0
dag_empty_nowrap,2048,2,1000,12709.0,15041.0,1019959.0
dag,2048,2,1000,16333.0,21334.0,2406666.0
dag_nowrap,2048,2,1000,13709.0,18791.0,2859959.0
dag_empty,2048,4,1000,14333.0,20959.0,76417.0
dag_empty_nowrap,2048,4,1000,13167.0,17666.0,1760750.0
dag,2048,4,1000,16166.0,21542.0,1787084.0
dag_nowrap,2048,4,1000,13417.0,17000.0,31042.0
ref,4096,1,1000,2417.0,2542.0,3958.0
direct,4096,1,1000,2458.0,2584.0,2709.0
dag_fused_nowrap,4096,1,1000,2500.0,2625.0,3875.0
dag_empty,4096,1,1000,10250.0,14291.0,1410041.0
dag_empty_nowrap,4096,1,1000,7334.0,9334.0,870834.0
dag,4096,1,1000,13167.0,18250.0,1351958.0
dag_nowrap,4096,1,1000,9666.0,12750.0,1524416.0
dag_empty,4096,2,1000,16209.0,20416.0,1858958.0
dag_empty_nowrap,4096,2,1000,12166.0,14750.0,1035875.0
dag,4096,2,1000,16167.0,21792.0,1560791.0
dag_nowrap,4096,2,1000,14125.0,16500.0,1579667.0
dag_empty,4096,4,1000,16292.0,21333.0,1936625.0
dag_empty_nowrap,4096,4,1000,12958.0,16167.0,998334.0
dag,4096,4,1000,16875.0,22125.0,2282916.0
dag_nowrap,4096,4,1000,13708.0,17334.0,1463084.0
ref,8192,1,1000,4709.0,4875.0,6125.0
direct,8192,1,1000,5041.0,5709.0,5834.0
dag_fused_nowrap,8192,1,1000,4583.0,4791.0,7708.0
dag_empty,8192,1,1000,10250.0,14000.0,549000.0
dag_empty_nowrap,8192,1,1000,6334.0,8167.0,11750.0
dag,8192,1,1000,15208.0,22000.0,1463791.0
dag_nowrap,8192,1,1000,12875.0,16250.0,990792.0
dag_empty,8192,2,1000,15666.0,19375.0,1362458.0
dag_empty_nowrap,8192,2,1000,12750.0,15417.0,1290166.0
dag,8192,2,1000,18458.0,24042.0,2304417.0
dag_nowrap,8192,2,1000,15875.0,18584.0,922042.0
dag_empty,8192,4,1000,15375.0,21375.0,944000.0
dag_empty_nowrap,8192,4,1000,12958.0,17125.0,1344167.0
dag,8192,4,1000,18167.0,22917.0,1834417.0
dag_nowrap,8192,4,1000,15500.0,18833.0,1867958.0
