impl,n,lanes,reps,min_ns,median_ns,p95_ns
ref,512,1,1000,250.0,292.0,334.0
direct,512,1,1000,250.0,292.0,334.0
dag_empty,512,1,1000,9000.0,15417.0,1319333.0
dag_empty_nowrap,512,1,1000,6750.0,9208.0,873250.0
dag,512,1,1000,10125.0,15208.0,1766125.0
dag_nowrap,512,1,1000,8375.0,9959.0,1329375.0
dag_empty,512,2,1000,14792.0,19500.0,2190250.0
dag_empty_nowrap,512,2,1000,10875.0,14667.0,1429958.0
dag,512,2,1000,15709.0,20583.0,2131250.0
dag_nowrap,512,2,1000,11125.0,14042.0,458583.0
dag_empty,512,4,1000,16250.0,21500.0,1806417.0
dag_empty_nowrap,512,4,1000,12708.0,16416.0,1320792.0
dag,512,4,1000,16500.0,21000.0,1279208.0
dag_nowrap,512,4,1000,13000.0,16209.0,24959.0
ref,2048,1,1000,1125.0,2000.0,2000.0
direct,2048,1,1000,1125.0,1209.0,1250.0
dag_empty,2048,1,1000,9375.0,14458.0,1378459.0
dag_empty_nowrap,2048,1,1000,6500.0,9541.0,864917.0
dag,2048,1,1000,12333.0,885208.0,2066167.0
dag_nowrap,2048,1,1000,8208.0,232500.0,1957750.0
dag_empty,2048,2,1000,16167.0,20208.0,1861792.0
dag_empty_nowrap,2048,2,1000,12042.0,14667.0,1004084.0
dag,2048,2,1000,17584.0,21125.0,2120959.0
dag_nowrap,2048,2,1000,12250.0,15708.0,1823500.0
dag_empty,2048,4,1000,15292.0,20958.0,2263250.0
dag_empty_nowrap,2048,4,1000,13292.0,16541.0,1766458.0
dag,2048,4,1000,16250.0,21584.0,1989041.0
dag_nowrap,2048,4,1000,14500.0,17167.0,1893667.0
ref,4096,1,1000,2291.0,2416.0,3959.0
direct,4096,1,1000,2333.0,2417.0,2458.0
dag_empty,4096,1,1000,12041.0,15000.0,70958.0
dag_empty_nowrap,4096,1,1000,6875.0,9167.0,948000.0
dag,4096,1,1000,12083.0,17959.0,1295875.0
dag_nowrap,4096,1,1000,10583.0,12875.0,951750.0
dag_empty,4096,2,1000,14292.0,19125.0,1844625.0
dag_empty_nowrap,4096,2,1000,12333.0,14291.0,1442542.0
dag,4096,2,1000,16417.0,22250.0,2190125.0
dag_nowrap,4096,2,1000,15375.0,17542.0,1242709.0
dag_empty,4096,4,1000,15167.0,21750.0,1835500.0
dag_empty_nowrap,4096,4,1000,12708.0,16583.0,1953625.0
dag,4096,4,1000,18166.0,22333.0,1929958.0
dag_nowrap,4096,4,1000,13750.0,18167.0,1937416.0
ref,8192,1,1000,4833.0,5041.0,5084.0
direct,8192,1,1000,4875.0,5042.0,5125.0
dag_empty,8192,1,1000,11458.0,14125.0,433083.0
dag_empty_nowrap,8192,1,1000,7375.0,9208.0,11542.0
dag,8192,1,1000,16750.0,22459.0,1387833.0
dag_nowrap,8192,1,1000,12750.0,16458.0,26000.0
dag_empty,8192,2,1000,17250.0,20667.0,31292.0
dag_empty_nowrap,8192,2,1000,13875.0,15792.0,2247125.0
dag,8192,2,1000,19333.0,22958.0,2350291.0
dag_nowrap,8192,2,1000,13792.0,17833.0,1223750.0
dag_empty,8192,4,1000,15416.0,21125.0,1750417.0
dag_empty_nowrap,8192,4,1000,13583.0,16750.0,1884542.0
dag,8192,4,1000,17458.0,23583.0,2281250.0
dag_nowrap,8192,4,1000,16292.0,19708.0,2075375.0
