impl,n,lanes,reps,min_ns,median_ns,p95_ns
ref,512,1,1000,458.0,500.0,541.0
direct,512,1,1000,250.0,500.0,542.0
dag_empty,512,1,1000,9833.0,15084.0,1246750.0
dag_empty_nowrap,512,1,1000,6125.0,8000.0,85167.0
dag,512,1,1000,9458.0,13708.0,17041.0
dag_nowrap,512,1,1000,8000.0,9500.0,1125583.0
dag_empty,512,2,1000,14042.0,19166.0,191416.0
dag_empty_nowrap,512,2,1000,12625.0,14875.0,23500.0
dag,512,2,1000,14625.0,19625.0,1647416.0
dag_nowrap,512,2,1000,12375.0,15000.0,1016125.0
dag_empty,512,4,1000,15833.0,21209.0,2175250.0
dag_empty_nowrap,512,4,1000,13084.0,16084.0,49833.0
dag,512,4,1000,15209.0,20541.0,1993625.0
dag_nowrap,512,4,1000,12333.0,16041.0,828625.0
ref,2048,1,1000,1125.0,1208.0,1209.0
direct,2048,1,1000,1125.0,1208.0,1250.0
dag_empty,2048,1,1000,8708.0,13459.0,855042.0
dag_empty_nowrap,2048,1,1000,8208.0,9625.0,11667.0
dag,2048,1,1000,10750.0,14834.0,836042.0
dag_nowrap,2048,1,1000,8375.0,9500.0,776625.0
dag_empty,2048,2,1000,13417.0,1300458.0,3076708.0
dag_empty_nowrap,2048,2,1000,11709.0,15083.0,1903791.0
dag,2048,2,1000,15709.0,19083.0,1861750.0
dag_nowrap,2048,2,1000,12792.0,15250.0,1268875.0
dag_empty,2048,4,1000,15625.0,21417.0,1688375.0
dag_empty_nowrap,2048,4,1000,12750.0,16000.0,21291.0
dag,2048,4,1000,15708.0,20917.0,1779292.0
dag_nowrap,2048,4,1000,13125.0,16625.0,1740500.0
ref,4096,1,1000,2416.0,2541.0,2625.0
direct,4096,1,1000,2542.0,2625.0,2750.0
dag_empty,4096,1,1000,9416.0,13875.0,938375.0
dag_empty_nowrap,4096,1,1000,6958.0,8750.0,1009333.0
dag,4096,1,1000,13791.0,18167.0,1160916.0
dag_nowrap,4096,1,1000,10041.0,12458.0,936625.0
dag_empty,4096,2,1000,14667.0,19041.0,1727833.0
dag_empty_nowrap,4096,2,1000,12916.0,15250.0,1327459.0
dag,4096,2,1000,17542.0,20750.0,1713500.0
dag_nowrap,4096,2,1000,14167.0,16834.0,1708791.0
dag_empty,4096,4,1000,15541.0,20750.0,1399333.0
dag_empty_nowrap,4096,4,1000,13250.0,16125.0,1571334.0
dag,4096,4,1000,17167.0,22583.0,1533041.0
dag_nowrap,4096,4,1000,14292.0,18125.0,1571042.0
ref,8192,1,1000,4791.0,5292.0,7750.0
direct,8192,1,1000,4833.0,5000.0,5125.0
dag_empty,8192,1,1000,9041.0,14250.0,1124375.0
dag_empty_nowrap,8192,1,1000,7208.0,9083.0,976833.0
dag,8192,1,1000,16125.0,20583.0,902459.0
dag_nowrap,8192,1,1000,13416.0,16875.0,1001042.0
dag_empty,8192,2,1000,14583.0,19083.0,1003083.0
dag_empty_nowrap,8192,2,1000,12334.0,14833.0,1461791.0
dag,8192,2,1000,18791.0,23416.0,1633000.0
dag_nowrap,8192,2,1000,13958.0,18166.0,1589875.0
dag_empty,8192,4,1000,15625.0,21125.0,1377792.0
dag_empty_nowrap,8192,4,1000,13458.0,16458.0,1472375.0
dag,8192,4,1000,19125.0,23042.0,1918208.0
dag_nowrap,8192,4,1000,15041.0,18500.0,1171375.0
