impl,n,lanes,reps,avg_ns,min_ns,max_ns,stddev_ns
ref,512,1,1000,298.8,250.0,334.0,15.9
direct,512,1,1000,307.0,250.0,375.0,20.8
dag_empty,512,1,1000,422242.8,9084.0,3245042.0,604830.0
dag,512,1,1000,103671.5,10125.0,2996708.0,313119.1
dag_empty,512,2,1000,235568.8,15250.0,3392583.0,612471.3
dag,512,2,1000,151609.5,15250.0,3218584.0,468430.0
dag_empty,512,4,1000,332220.5,14750.0,4810125.0,791014.2
dag,512,4,1000,242869.5,15375.0,4033000.0,649020.3
ref,2048,1,1000,1201.0,1125.0,1292.0,17.2
direct,2048,1,1000,1209.4,1125.0,1292.0,13.6
dag_empty,2048,1,1000,148533.3,9958.0,3245792.0,404822.6
dag,2048,1,1000,128322.8,10584.0,4528500.0,372184.1
dag_empty,2048,2,1000,147102.6,15416.0,3059042.0,455288.1
dag,2048,2,1000,295614.5,17250.0,3514000.0,595813.9
dag_empty,2048,4,1000,105708.4,15250.0,3603583.0,409114.7
dag,2048,4,1000,261908.1,15792.0,3694500.0,665222.7
ref,4096,1,1000,2401.1,2292.0,3584.0,64.6
direct,4096,1,1000,2439.2,2333.0,11542.0,289.3
dag_empty,4096,1,1000,58428.9,10083.0,2194250.0,219091.3
dag,4096,1,1000,170596.7,12417.0,2660125.0,376141.6
dag_empty,4096,2,1000,152670.1,13875.0,4402000.0,476516.9
dag,4096,2,1000,102393.6,17334.0,4067375.0,389820.5
dag_empty,4096,4,1000,244225.5,14250.0,3380042.0,632901.4
dag,4096,4,1000,1353963.3,17583.0,8590916.0,1618723.7
ref,8192,1,1000,4833.7,4666.0,5166.0,39.6
direct,8192,1,1000,5118.1,4833.0,17292.0,496.0
dag_empty,8192,1,1000,96464.4,9500.0,2342042.0,298755.0
dag,8192,1,1000,143170.3,15042.0,1932875.0,352801.0
dag_empty,8192,2,1000,292911.7,13792.0,3091250.0,636881.7
dag,8192,2,1000,172226.9,18666.0,4054125.0,518555.1
dag_empty,8192,4,1000,211794.5,15167.0,3858042.0,613514.4
dag,8192,4,1000,230711.1,17958.0,4448291.0,660097.2
