impl,out_cols,cols,rows,lanes,reps,min_ns,median_ns,p95_ns
dag_group,3,4,2,1,1000,6708.0,9834.0,1098791.0
direct_manual,3,4,2,1,1000,83.0,84.0,125.0
frozen_packet,3,4,2,1,1000,83.0,125.0,125.0
dag_group,64,64,1,1,1000,8250.0,9917.0,1004208.0
direct_manual,64,64,1,1,1000,1042.0,1125.0,1167.0
frozen_packet,64,64,1,1,1000,458.0,500.0,500.0
dag_group,64,64,2,1,1000,8000.0,10125.0,36625.0
direct_manual,64,64,2,1,1000,916.0,1000.0,2250.0
frozen_packet,64,64,2,1,1000,916.0,1000.0,2250.0
dag_group,64,64,4,1,1000,8792.0,11500.0,927166.0
direct_manual,64,64,4,1,1000,1833.0,1917.0,4375.0
frozen_packet,64,64,4,1,1000,1875.0,1917.0,4417.0
dag_group,64,64,8,1,1000,9250.0,13375.0,315833.0
direct_manual,64,64,8,1,1000,3708.0,3792.0,8750.0
frozen_packet,64,64,8,1,1000,3708.0,3792.0,3875.0
dag_group,64,64,16,1,1000,13500.0,18083.0,1058750.0
direct_manual,64,64,16,1,1000,7416.0,7542.0,7625.0
frozen_packet,64,64,16,1,1000,7458.0,7583.0,7625.0
dag_group,64,32,1,1,1000,7625.0,9458.0,247542.0
direct_manual,64,32,1,1,1000,333.0,333.0,375.0
frozen_packet,64,32,1,1,1000,750.0,792.0,792.0
dag_group,64,128,1,1,1000,7834.0,10209.0,11834.0
direct_manual,64,128,1,1,1000,833.0,2125.0,2125.0
frozen_packet,64,128,1,1,1000,833.0,2167.0,2209.0
dag_group,64,256,1,1,1000,8833.0,11875.0,937208.0
direct_manual,64,256,1,1,1000,1583.0,1625.0,2750.0
frozen_packet,64,256,1,1,1000,1625.0,1667.0,4917.0
dag_group,32,64,1,1,1000,6500.0,9583.0,924583.0
direct_manual,32,64,1,1,1000,541.0,583.0,584.0
frozen_packet,32,64,1,1,1000,208.0,250.0,292.0
dag_group,128,64,1,1,1000,7791.0,10208.0,819375.0
direct_manual,128,64,1,1,1000,916.0,2375.0,2417.0
frozen_packet,128,64,1,1,1000,875.0,958.0,1000.0
dag_group,256,64,1,1,1000,8334.0,11666.0,920042.0
direct_manual,256,64,1,1,1000,1875.0,1959.0,2000.0
frozen_packet,256,64,1,1,1000,1917.0,2000.0,5791.0
