shape,batch,order,route,mode,n_workers,iters,cols,out_cols,rows,trait,min_us,median_us,p90_us,mean_us,stdev_us
gate-up,1,1,hpx,bridge,4,1000,2048,5632,1,q4_K_8x8_q8_K,54.375,67.292,73.791,67.923,8.081
gate-up,1,2,hpx,in_hpx,4,1000,2048,5632,1,q4_K_8x8_q8_K,47.458,51.666,63.208,54.943,10.935
gate-up,2,1,hpx,in_hpx,4,1000,2048,5632,1,q4_K_8x8_q8_K,47.416,48.167,61.417,52.789,11.601
gate-up,2,2,hpx,bridge,4,1000,2048,5632,1,q4_K_8x8_q8_K,54.292,62.084,71.750,65.337,31.908
gate-up,3,1,hpx,bridge,4,1000,2048,5632,1,q4_K_8x8_q8_K,54.583,62.416,73.208,65.282,7.752
gate-up,3,2,hpx,in_hpx,4,1000,2048,5632,1,q4_K_8x8_q8_K,47.458,50.542,61.291,53.096,8.071
qka,1,1,hpx,bridge,3,1000,2048,2048,1,q4_K_8x8_q8_K,25.792,28.334,35.917,30.255,4.911
qka,1,2,hpx,in_hpx,3,1000,2048,2048,1,q4_K_8x8_q8_K,22.750,23.042,27.583,24.604,4.600
qka,2,1,hpx,in_hpx,3,1000,2048,2048,1,q4_K_8x8_q8_K,22.708,23.000,27.709,24.482,4.236
qka,2,2,hpx,bridge,3,1000,2048,2048,1,q4_K_8x8_q8_K,25.583,28.250,33.708,29.545,3.517
qka,3,1,hpx,bridge,3,1000,2048,2048,1,q4_K_8x8_q8_K,26.459,28.375,35.083,30.460,5.500
qka,3,2,hpx,in_hpx,3,1000,2048,2048,1,q4_K_8x8_q8_K,22.750,23.000,27.083,24.006,3.476
