threads,iters,cols,out_cols,rows,trait,min_us,median_us,p90_us,mean_us,stdev_us
1,1000,2048,5632,1,q4_K_8x8_q8_K,147.208,152.417,175.416,160.462,68.690
2,1000,2048,5632,1,q4_K_8x8_q8_K,85.375,97.083,114.458,101.551,13.908
3,1000,2048,5632,1,q4_K_8x8_q8_K,76.916,84.375,97.750,87.729,9.110
4,1000,2048,5632,1,q4_K_8x8_q8_K,71.250,81.084,99.750,85.633,20.769
5,1000,2048,5632,1,q4_K_8x8_q8_K,80.333,98.000,118.833,102.437,20.923
6,1000,2048,5632,1,q4_K_8x8_q8_K,90.375,157.292,168.417,148.992,25.548
7,1000,2048,5632,1,q4_K_8x8_q8_K,99.666,164.250,176.417,157.542,27.256
8,1000,2048,5632,1,q4_K_8x8_q8_K,106.625,171.333,184.000,165.984,24.999
1,1000,2048,2048,1,q4_K_8x8_q8_K,62.291,63.000,66.500,64.073,3.322
2,1000,2048,2048,1,q4_K_8x8_q8_K,44.750,51.125,54.834,52.210,5.659
3,1000,2048,2048,1,q4_K_8x8_q8_K,40.292,49.459,54.542,51.095,8.294
4,1000,2048,2048,1,q4_K_8x8_q8_K,46.167,52.792,66.834,56.637,13.768
5,1000,2048,2048,1,q4_K_8x8_q8_K,53.708,67.083,85.250,72.883,26.250
6,1000,2048,2048,1,q4_K_8x8_q8_K,56.416,125.542,135.583,111.203,27.903
7,1000,2048,2048,1,q4_K_8x8_q8_K,67.041,137.375,149.791,128.370,30.191
8,1000,2048,2048,1,q4_K_8x8_q8_K,72.334,143.667,155.250,137.374,24.715
